,year,country,sex_,fatal_(y/n)
0,2018.0,USA,F,N
1,2018.0,USA,F,N
2,2018.0,USA,M,N
3,2018.0,AUSTRALIA,M,N
4,2018.0,MEXICO,M,N
5,2018.0,AUSTRALIA,M,N
6,2018.0,BRAZIL,M,Y
7,2018.0,USA,M,N
8,2018.0,USA,M,N
9,2018.0,USA,M,N
10,2018.0,AUSTRALIA,M,N
11,2018.0,USA,M,N
12,2018.0,USA,M,N
13,2018.0,ENGLAND,M,N
14,2018.0,AUSTRALIA,F,N
15,2018.0,SOUTH AFRICA,M,N
16,2018.0,AUSTRALIA,M,N
17,2018.0,THAILAND,M,N
18,2018.0,COSTA RICA,M,N
19,2018.0,AUSTRALIA,M,N
20,2018.0,AUSTRALIA,M,N
21,2018.0,AUSTRALIA,M,N
22,2018.0,AUSTRALIA,M,N
23,2018.0,MALDIVES,M,N
24,2018.0,SOUTH AFRICA,M,N
25,2018.0,USA,M,N
26,2018.0,THAILAND,M,N
27,2018.0,BRAZIL,M,
28,2018.0,AUSTRALIA,M,N
29,2018.0,AUSTRALIA,M,N
30,2018.0,BAHAMAS,M,N
31,2018.0,BRAZIL,M,N
32,2018.0,NEW CALEDONIA,,N
33,2018.0,BAHAMAS,M,N
34,2018.0,SOUTH AFRICA,M,N
35,2018.0,USA,M,N
36,2018.0,AUSTRALIA,M,N
37,2018.0,AUSTRALIA,M,N
38,2018.0,AUSTRALIA,M,N
39,2018.0,SOUTH AFRICA,M,N
40,2018.0,AUSTRALIA,F,N
41,2018.0,AUSTRALIA,M,N
42,2018.0,AUSTRALIA,M,N
43,2018.0,AUSTRALIA,F,N
44,2018.0,BRAZIL,F,N
45,2018.0,ECUADOR,M,N
46,2018.0,AUSTRALIA,M,N
47,2018.0,AUSTRALIA,M,N
48,2018.0,NEW CALEDONIA,M,N
49,2018.0,AUSTRALIA,M,N
50,2018.0,AUSTRALIA,M,N
51,2018.0,BRAZIL,M,N
52,2018.0,AUSTRALIA,M,N
53,2017.0,USA,F,N
54,2017.0,USA,F,N
55,2017.0,MALAYSIA,M,N
56,2017.0,BAHAMAS,F,N
57,2017.0,COSTA RICA,M,N
58,2017.0,COSTA RICA,F,Y
59,2017.0,LIBYA,,Y
60,2017.0,USA,M,N
61,2017.0,USA,F,N
62,2017.0,,M,N
63,2017.0,AUSTRALIA,M,N
64,2017.0,CUBA,M,Y
65,2017.0,AUSTRALIA,M,N
66,2017.0,AUSTRALIA,M,N
67,2017.0,USA,M,N
68,2017.0,MAURITIUS,M,N
69,2017.0,USA,M,N
70,2017.0,USA,F,N
71,2017.0,AUSTRALIA,F,N
72,2017.0,NEW ZEALAND,M,N
73,2017.0,USA,M,N
74,2017.0,USA,M,N
75,2017.0,USA,F,N
76,2017.0,SOUTH AFRICA,M,
77,2017.0,USA,M,N
78,2017.0,AUSTRALIA,M,N
79,2017.0,USA,M,
80,2017.0,USA,M,N
81,2017.0,USA,M,N
82,2017.0,SPAIN,M,N
83,2017.0,USA,M,N
84,2017.0,SOUTH AFRICA,M,
85,2017.0,SAMOA,M,N
86,2017.0,AUSTRALIA,,N
87,2017.0,USA,M,N
88,2017.0,AUSTRALIA,M,N
89,2017.0,AUSTRALIA,M,N
90,2017.0,SOLOMON ISLANDS,M,N
91,2017.0,SOUTH AFRICA,M,Y
92,2017.0,JAPAN,M,N
93,2017.0,USA,M,N
94,2017.0,USA,F,N
95,2017.0,USA,M,N
96,2017.0,AUSTRALIA,M,N
97,2017.0,USA,F,N
98,2017.0,SPAIN,F,
99,2017.0,NEW ZEALAND,M,N
100,2017.0,USA,M,N
101,2017.0,BAHAMAS,M,N
102,2017.0,USA,M,N
103,2017.0,EGYPT,F,N
104,2017.0,USA,M,N
105,2017.0,USA,M,N
106,2017.0,USA,M,N
107,2017.0,USA,M,
108,2017.0,USA,F,N
109,2017.0,BAHAMAS,F,N
110,2017.0,BAHAMAS,M,N
111,2017.0,"ST HELENA, British overseas territory",M,N
112,2017.0,USA,F,N
113,2017.0,SPAIN,F,N
114,2017.0,USA,F,N
115,2017.0,USA,F,
116,2017.0,USA,M,N
117,2017.0,USA,M,N
118,2017.0,USA,M,N
119,2017.0,AUSTRALIA,M,N
120,2017.0,USA,M,N
121,2017.0,USA,M,N
122,2017.0,MEXICO,M,N
123,2017.0,SOUTH AFRICA,F,N
124,2017.0,COMOROS,,
125,2017.0,USA,M,
126,2017.0,USA,F,N
127,2017.0,USA,M,N
128,2017.0,USA,F,N
129,2017.0,REUNION,M,N
130,2017.0,SPAIN,M,N
131,2017.0,FRENCH POLYNESIA,M,N
132,2017.0,BAHAMAS,F,N
133,2017.0,AUSTRALIA,M,N
134,2017.0,AUSTRALIA,F,N
135,2017.0,USA,M,N
136,2017.0,UNITED KINGDOM,M,N
137,2017.0,USA,M,N
138,2017.0,BAHAMAS,F,N
139,2017.0,USA,F,N
140,2017.0,USA,M,N
141,2017.0,AUSTRALIA,M,N
142,2017.0,UNITED ARAB EMIRATES,M,N
143,2017.0,AUSTRALIA,M,N
144,2017.0,MEXICO,M,Y
145,2017.0,USA,F,
146,2017.0,USA,F,N
147,2017.0,SOUTH AFRICA,M,N
148,2017.0,USA,F,N
149,2017.0,REUNION,M,Y
150,2017.0,NEW ZEALAND,F,N
151,2017.0,USA,F,
152,2017.0,"ST HELENA, British overseas territory",F,N
153,2017.0,USA,M,
154,2017.0,USA,,N
155,2017.0,AUSTRALIA,F,Y
156,2017.0,USA,M,N
157,2017.0,USA,M,N
158,2017.0,USA,F,N
159,2017.0,SOUTH AFRICA,M,
160,2017.0,USA,F,N
161,2017.0,USA,F,N
162,2017.0,USA,F,N
163,2017.0,USA,M,N
164,2017.0,USA,F,N
165,2017.0,AUSTRALIA,M,N
166,2017.0,USA,F,N
167,2017.0,USA,M,N
168,2017.0,AUSTRALIA,M,N
169,2017.0,USA,M,N
170,2017.0,PHILIPPINES,M,N
171,2017.0,BAHAMAS,M,N
172,2017.0,AUSTRALIA,F,N
173,2017.0,AUSTRALIA,M,N
174,2017.0,REUNION,M,Y
175,2017.0,AUSTRALIA,M,N
176,2017.0,USA,M,N
177,2017.0,BRAZIL,F,N
178,2017.0,SOUTH AFRICA,M,N
179,2017.0,USA,,N
180,2017.0,BAHAMAS,M,N
181,2017.0,BRAZIL,M,N
182,2017.0,USA,M,N
183,2017.0,AUSTRALIA,M,N
184,2017.0,AUSTRALIA,M,N
185,2017.0,USA,M,N
186,2017.0,INDONESIA,M,N
187,,AUSTRALIA,M,
188,2017.0,USA,M,N
189,2017.0,AUSTRALIA,M,
190,2016.0,USA,M,N
191,2016.0,AUSTRALIA,F,N
192,2016.0,SOUTH AFRICA,M,N
193,2016.0,AUSTRALIA,M,N
194,2016.0,FRENCH POLYNESIA,M,N
195,2016.0,USA,M,
196,2016.0,AUSTRALIA,M,N
197,2016.0,AUSTRALIA,M,N
198,2016.0,AUSTRALIA,M,N
199,2016.0,USA,F,N
200,2016.0,USA,M,N
201,2016.0,USA,M,N
202,2016.0,AUSTRALIA,M,N
203,2016.0,USA,M,N
204,2016.0,AUSTRALIA,M,N
205,2016.0,USA,F,N
206,2016.0,MEXICO,M,
207,2016.0,AUSTRALIA,M,N
208,2016.0,USA,M,N
209,2016.0,USA,M,N
210,2016.0,USA,M,N
211,2016.0,AUSTRALIA,M,N
212,2016.0,USA,M,N
213,2016.0,USA,M,N
214,2016.0,USA,M,N
215,2016.0,USA,M,N
216,2016.0,AUSTRALIA,M,N
217,2016.0,AUSTRALIA,M,N
218,2016.0,AUSTRALIA,,N
219,2016.0,USA,M,N
220,2016.0,USA,F,N
221,2016.0,NEW CALEDONIA,M,Y
222,2016.0,USA,F,N
223,2016.0,AUSTRALIA,M,N
224,2016.0,USA,M,N
225,2016.0,USA,M,N
226,2016.0,MEXICO,,
227,2016.0,USA,M,N
228,2016.0,USA,M,N
229,2016.0,REUNION,M,N
230,2016.0,USA,M,N
231,2016.0,BAHAMAS,M,N
232,2016.0,USA,M,N
233,2016.0,USA,M,N
234,2016.0,SPAIN,M,N
235,2016.0,CHINA,M,N
236,2016.0,AUSTRALIA,M,N
237,2016.0,USA,M,N
238,2016.0,AUSTRALIA,M,N
239,2016.0,JAPAN,M,N
240,2016.0,AUSTRALIA,M,N
241,2016.0,BAHAMAS,M,N
242,2016.0,AUSTRALIA,M,N
243,2016.0,USA,,N
244,2016.0,USA,F,N
245,2016.0,USA,F,N
246,2016.0,USA,M,N
247,2016.0,USA,M,N
248,2016.0,BAHAMAS,M,N
249,2016.0,SPAIN,F,N
250,2016.0,USA,M,N
251,2016.0,USA,M,N
252,2016.0,USA,M,N
253,2016.0,USA,F,N
254,2016.0,AUSTRALIA,M,N
255,2016.0,USA,M,N
256,2016.0,USA,M,N
257,2016.0,COLUMBIA,M,N
258,2016.0,SOUTH AFRICA,M,N
259,2016.0,USA,M,N
260,2016.0,USA,M,N
261,2016.0,USA,M,N
262,2016.0,AUSTRALIA,M,N
263,2016.0,USA,F,N
264,2016.0,USA,M,N
265,2016.0,USA,M,
266,2016.0,USA,M,N
267,2016.0,AUSTRALIA,F,Y
268,2016.0,EGYPT,M,N
269,2016.0,AUSTRALIA,M,
270,2016.0,NEW CALEDONIA,M,N
271,2016.0,AUSTRALIA,M,Y
272,2016.0,USA,F,N
273,2016.0,USA,M,N
274,2016.0,USA,F,N
275,2016.0,USA,F,N
276,2016.0,USA,F,N
277,2016.0,USA,M,N
278,2016.0,USA,F,N
279,2016.0,USA,M,N
280,2016.0,NEW ZEALAND,M,N
281,2016.0,INDONESIA,M,N
282,2016.0,USA,M,N
283,2016.0,SOUTH AFRICA,M,N
284,2016.0,AUSTRALIA,M,N
285,2016.0,FRENCH POLYNESIA,M,M
286,2016.0,FRENCH POLYNESIA,M,N
287,2016.0,USA,M,N
288,2016.0,NEW CALEDONIA,F,Y
289,2016.0,CAPE VERDE,M,
290,2016.0,USA,M,N
291,2016.0,USA,M,
292,2016.0,USA,F,N
293,2016.0,AUSTRALIA,M,N
294,2016.0,USA,M,
295,2016.0,AUSTRALIA,M,N
296,2016.0,BAHAMAS,M,N
297,2016.0,USA,,
298,2016.0,USA,M,N
299,2016.0,Fiji,M,Y
300,2016.0,USA,M,N
301,2016.0,AUSTRALIA,M,N
302,2016.0,BRAZIL,M,N
303,2016.0,NEW CALEDONIA,M,N
304,2016.0,NEW CALEDONIA,M,N
305,2016.0,DOMINICAN REPUBLIC,F,N
306,2016.0,CAYMAN ISLANDS,M,
307,2016.0,AUSTRALIA,M,
308,2016.0,AUSTRALIA,F,N
309,2016.0,AUSTRALIA,M,N
310,2016.0,BRAZIL,M,N
311,2016.0,SOUTH AFRICA,M,N
312,2016.0,USA,M,N
313,2016.0,USA,F,N
314,2016.0,USA,M,N
315,2016.0,UNITED ARAB EMIRATES,M,N
316,2016.0,USA,M,N
317,2016.0,AUSTRALIA,M,N
318,2016.0,AUSTRALIA,M,N
319,2016.0,AUSTRALIA,M,N
320,2015.0,SOUTH AFRICA,M,N
321,2015.0,SPAIN,F,N
322,2015.0,USA,M,N
323,2015.0,AUSTRALIA,M,N
324,2015.0,BRAZIL,M,N
325,2015.0,ARUBA,M,Y
326,2015.0,AUSTRALIA,,N
327,2015.0,BAHAMAS,M,N
328,2015.0,SOUTH AFRICA,F,N
329,2015.0,ECUADOR,M,N
330,2015.0,USA,M,N
331,2015.0,USA,F,N
332,2015.0,USA,M,N
333,2015.0,AUSTRALIA,M,N
334,2015.0,USA,F,
335,2015.0,USA,M,N
336,2015.0,USA,F,N
337,2015.0,MOZAMBIQUE,M,N
338,2015.0,AUSTRALIA,M,N
339,2015.0,USA,M,N
340,2015.0,SOUTH AFRICA,M,N
341,2015.0,USA,M,N
342,2015.0,USA,M,N
343,2015.0,MOZAMBIQUE,F,Y
344,2015.0,USA,M,
345,2015.0,USA,M,N
346,2015.0,USA,M,N
347,2015.0,USA,F,N
348,2015.0,USA,M,N
349,2015.0,MOZAMBIQUE,M,N
350,2015.0,AUSTRALIA,M,N
351,2015.0,USA,M,N
352,2015.0,USA,M,N
353,2015.0,USA,M,N
354,2015.0,USA,M,N
355,2015.0,AUSTRALIA,F,N
356,2015.0,USA,M,N
357,2015.0,USA,M,N
358,2015.0,USA,M,N
359,2015.0,USA,M,N
360,2015.0,USA,M,N
361,2015.0,USA,M,N
362,2015.0,USA,M,N
363,2015.0,USA,M,N
364,2015.0,AUSTRALIA,M,N
365,2015.0,USA,F,N
366,2015.0,USA,M,N
367,2015.0,AUSTRALIA,M,N
368,2015.0,USA,M,N
369,2015.0,THAILAND,F,N
370,2015.0,FIJI,M,N
371,2015.0,USA,F,N
372,2015.0,USA,M,N
373,2015.0,USA,M,
374,2015.0,AUSTRALIA,M,N
375,2015.0,USA,M,N
376,2015.0,USA,F,N
377,2015.0,USA,M,N
378,2015.0,SPAIN,M,
379,2015.0,USA,M,N
380,2015.0,AUSTRALIA,M,N
381,2015.0,COSTA RICA,M,N
382,2015.0,AUSTRALIA,M,
383,2015.0,USA,M,N
384,2015.0,USA,F,
385,2015.0,AUSTRALIA,M,Y
386,2015.0,USA,M,N
387,2015.0,AUSTRALIA,M,N
388,2015.0,REUNION,M,N
389,2015.0,SOUTH AFRICA,M,N
390,2015.0,USA,M,N
391,2015.0,USA,M,
392,2015.0,FRENCH POLYNESIA,M,
393,2015.0,BAHAMAS,F,N
394,2015.0,USA,M,N
395,2015.0,AUSTRALIA,M,N
396,2015.0,AUSTRALIA,M,N
397,2015.0,USA,M,N
398,2015.0,AUSTRALIA,M,N
399,2015.0,USA,M,N
400,2015.0,USA,M,N
401,2015.0,SOUTH AFRICA,M,N
402,2015.0,USA,F,
403,2015.0,SOUTH AFRICA,M,N
404,2015.0,USA,M,N
405,2015.0,AUSTRALIA,M,N
406,2015.0,USA,M,N
407,2015.0,USA,M,N
408,2015.0,AUSTRALIA,F,N
409,2015.0,USA,M,N
410,2015.0,PUERTO RICO,M,N
411,2015.0,USA,M,N
412,2015.0,USA,M,N
413,2015.0,USA,F,N
414,2015.0,USA,F,N
415,2015.0,USA,F,N
416,2015.0,USA,M,N
417,2015.0,USA,F,N
418,2015.0,REUNION,M,N
419,2015.0,USA,F,N
420,2015.0,USA,F,N
421,2015.0,FRENCH POLYNESIA,M,N
422,2015.0,USA,F,N
423,2015.0,USA,M,N
424,2015.0,USA,M,N
425,2015.0,NEW CALEDONIA,M,Y
426,2015.0,USA,M,N
427,2015.0,AUSTRALIA,M,N
428,2015.0,SOUTH AFRICA,M,N
429,2015.0,USA,F,Y
430,2015.0,USA,M,N
431,2015.0,AUSTRALIA,M,N
432,2015.0,AUSTRALIA,M,N
433,2015.0,USA,M,N
434,2015.0,REUNION,M,Y
435,2015.0,AUSTRALIA,M,N
436,2015.0,USA,M,N
437,2015.0,ITALY,M,
438,2015.0,BRAZIL,M,
439,2015.0,SOUTH AFRICA,M,N
440,2015.0,EGYPT,M,Y
441,2015.0,USA,M,N
442,2015.0,FRENCH POLYNESIA,M,N
443,2015.0,AUSTRALIA,M,N
444,2015.0,MEXICO,M,N
445,2015.0,FRENCH POLYNESIA,M,N
446,2015.0,ATLANTIC OCEAN,,N
447,2015.0,REUNION,F,Y
448,2015.0,AUSTRALIA,M,Y
449,2015.0,AUSTRALIA,M,N
450,2015.0,AUSTRALIA,M,N
451,2015.0,AUSTRALIA,M,N
452,2015.0,USA,M,N
453,2015.0,AUSTRALIA,M,N
454,2015.0,SOUTH AFRICA,M,N
455,2015.0,USA,M,N
456,2015.0,AUSTRALIA,F,
457,2015.0,AUSTRALIA,M,N
458,2015.0,AUSTRALIA,M,N
459,2015.0,USA,M,
460,2015.0,BAHAMAS,F,N
461,2015.0,SOUTH AFRICA,M,N
462,2015.0,USA,M,N
463,2014.0,AUSTRALIA,,N
464,2014.0,AUSTRALIA,M,Y
465,2014.0,GREECE,,N
466,2014.0,SOUTH AFRICA,,
467,2014.0,USA,M,N
468,2014.0,AUSTRALIA,M,N
469,2014.0,JAPAN,M,N
470,2014.0,AUSTRALIA,M,Y
471,2014.0,SPAIN,M,N
472,2014.0,AUSTRALIA,M,N
473,2014.0,MAURITIUS,M,Y
474,2014.0,AUSTRALIA,M,N
475,2014.0,USA,,N
476,2014.0,USA,M,N
477,2014.0,USA,M,N
478,2014.0,AUSTRALIA,M,N
479,2014.0,USA,M,N
480,2014.0,USA,F,N
481,2014.0,AUSTRALIA,M,N
482,2014.0,USA,F,N
483,2014.0,USA,M,N
484,2014.0,USA,F,N
485,2014.0,USA,M,N
486,2014.0,AUSTRALIA,F,N
487,2014.0,USA,F,N
488,2014.0,USA,F,N
489,2014.0,AUSTRALIA,M,N
490,2014.0,USA,M,N
491,2014.0,USA,F,N
492,2014.0,USA,M,N
493,2014.0,USA,M,N
494,2014.0,USA,M,N
495,2014.0,USA,M,N
496,2014.0,AUSTRALIA,M,N
497,2014.0,USA,M,N
498,2014.0,FRENCH POLYNESIA,F,N
499,2014.0,USA,M,
500,2014.0,AUSTRALIA,M,Y
501,2014.0,USA,M,N
502,2014.0,USA,F,N
503,2014.0,USA,M,N
504,2014.0,SPAIN,M,N
505,2014.0,USA,F,N
506,2014.0,USA,M,N
507,2014.0,USA,,
508,2014.0,USA,M,N
509,2014.0,SPAIN,F,N
510,2014.0,USA,M,N
511,2014.0,USA,F,N
512,2014.0,USA,M,N
513,2014.0,USA,,N
514,2014.0,AUSTRALIA,M,N
515,2014.0,USA,M,N
516,2014.0,USA,M,N
517,2014.0,BAHAMAS,M,N
518,2014.0,USA,F,N
519,2014.0,USA,M,N
520,2014.0,USA,M,N
521,2014.0,USA,F,N
522,2014.0,USA,M,N
523,2014.0,USA,M,N
524,2014.0,SOUTH AFRICA,M,N
525,2014.0,,M,
526,2014.0,USA,M,N
527,2014.0,REUNION,M,N
528,2014.0,USA,M,N
529,2014.0,SPAIN,,N
530,2014.0,USA,M,N
531,2014.0,USA,M,N
532,2014.0,BAHAMAS,M,
533,2014.0,USA,M,N
534,2014.0,USA,M,N
535,2014.0,USA,M,N
536,2014.0,USA,M,N
537,2014.0,USA,M,N
538,2014.0,ST. MARTIN,M,N
539,2014.0,BAHAMAS,M,N
540,2014.0,AUSTRALIA,M,N
541,2014.0,AUSTRALIA,M,N
542,2014.0,AUSTRALIA,M,N
543,2014.0,BRAZIL,M,N
544,2014.0,USA,M,N
545,2014.0,AUSTRALIA,M,N
546,2014.0,JAPAN,M,N
547,2014.0,USA,F,N
548,2014.0,USA,F,N
549,2014.0,AUSTRALIA,M,N
550,2014.0,USA,F,N
551,2014.0,AUSTRALIA,F,N
552,2014.0,FRANCE,M,N
553,2014.0,AUSTRALIA,M,N
554,2014.0,USA,F,N
555,2014.0,AUSTRALIA,M,N
556,2014.0,USA,F,N
557,2014.0,USA,M,N
558,2014.0,USA,M,
559,2014.0,USA,F,N
560,2014.0,SOUTH AFRICA,,N
561,2014.0,USA,M,N
562,2014.0,AUSTRALIA,M,N
563,2014.0,USA,M ,N
564,2014.0,USA,M,N
565,2014.0,SOUTH AFRICA,,N
566,2014.0,SOUTH AFRICA,M,N
567,2014.0,USA,M,N
568,2014.0,USA,M,N
569,2014.0,AUSTRALIA,F,Y
570,2014.0,AUSTRALIA,M,
571,2014.0,SOUTH AFRICA,M,Y
572,2014.0,USA,M,N
573,2014.0,USA,M,N
574,2014.0,NEW CALEDONIA,M,N
575,2014.0,AUSTRALIA,M,N
576,2014.0,AUSTRALIA,F,
577,2014.0,AUSTRALIA,M,N
578,2014.0,CAYMAN ISLANDS,M,
579,2014.0,USA,M,N
580,2014.0,FRENCH POLYNESIA,M,N
581,2014.0,PAPUA NEW GUINEA,M,N
582,2014.0,AUSTRALIA,M,Y
583,2014.0,TRINIDAD & TOBAGO,M,N
584,2014.0,NEW ZEALAND,M,N
585,2014.0,AUSTRALIA,M,N
586,2014.0,NEW ZEALAND,M,N
587,2014.0,JAPAN,M,N
588,2014.0,USA,M,N
589,2014.0,NEW ZEALAND,,N
590,2013.0,NEW CALEDONIA,M,N
591,2013.0,SOUTH AFRICA,M,N
592,2013.0,KIRIBATI,M,N
593,2013.0,USA,M,N
594,2013.0,USA,M,N
595,2013.0,AUSTRALIA,M,N
596,2013.0,USA,M,Y
597,2013.0,AUSTRALIA,M,Y
598,2013.0,USA,F,N
599,2013.0,AUSTRALIA,M,Y
600,2013.0,USA,M,N
601,2013.0,AUSTRALIA,M,N
602,2013.0,BAHAMAS,M,N
603,2013.0,USA,M,N
604,2013.0,USA,M,N
605,2013.0,USA,M,N
606,2013.0,AUSTRALIA,F,N
607,2013.0,REUNION,M,N
608,2013.0,AUSTRALIA,M,N
609,2013.0,AUSTRALIA,M,N
610,2013.0,USA,M,N
611,2013.0,USA,M,N
612,2013.0,USA,M,N
613,2013.0,SOUTH AFRICA,M,Y
614,2013.0,AUSTRALIA,M,N
615,2013.0,USA,M,N
616,2013.0,USA,M,N
617,2013.0,USA,M,N
618,2013.0,ISRAEL,M,N
619,2013.0,USA,M,N
620,2013.0,USA,M,N
621,2013.0,USA,M,N
622,2013.0,USA,M,N
623,2013.0,USA,F,N
624,2013.0,USA,F,UNKNOWN
625,2013.0,USA,M,N
626,2013.0,USA,M,N
627,2013.0,USA,M,N
628,2013.0,USA,M,N
629,2013.0,BAHAMAS,M,N
630,2013.0,USA,M,N
631,2013.0,BAHAMAS,M,N
632,2013.0,USA,M,N
633,2013.0,USA,F,
634,2013.0,FRANCE,M,N
635,2013.0,USA,F,N
636,2013.0,AUSTRALIA,M,N
637,2013.0,USA,M,N
638,2013.0,USA,F,N
639,2013.0,USA,F,Y
640,2013.0,USA,F,N
641,2013.0,USA,M,N
642,2013.0,SOUTH AFRICA,M,N
643,2013.0,USA,M,N
644,2013.0,USA,F,N
645,2013.0,USA,M,N
646,2013.0,BAHAMAS,M,N
647,2013.0,MEXICO,F,N
648,2013.0,USA,M,N
649,2013.0,BAHAMAS,M,N
650,2013.0,BAHAMAS,M,N
651,2013.0,BRAZIL,F,Y
652,2013.0,USA,F,N
653,2013.0,USA,M,N
654,2013.0,REUNION,F,Y
655,2013.0,DIEGO GARCIA,M,Y
656,2013.0,USA,F,N
657,2013.0,SPAIN,M,
658,2013.0,AUSTRALIA,M,N
659,2013.0,TAIWAN,M,N
660,2013.0,JAMAICA,M,
661,2013.0,USA,M,N
662,2013.0,USA,M,N
663,2013.0,USA,M,N
664,2013.0,USA,M,N
665,2013.0,USA,M,N
666,2013.0,SOUTH AFRICA,M,N
667,2013.0,USA,F,N
668,2013.0,USA,F,N
669,2013.0,USA,M,N
670,2013.0,AUSTRALIA,M,N
671,2013.0,USA,M,N
672,2013.0,USA,M,N
673,2013.0,BRAZIL,M,Y
674,2013.0,PALESTINIAN TERRITORIES,M,N
675,2013.0,ECUADOR,M,N
676,2013.0,USA,M,
677,2013.0,REUNION,M,Y
678,2013.0,USA,M,N
679,2013.0,AUSTRALIA,M,N
680,2013.0,MEXICO,F,N
681,2013.0,AUSTRALIA,M,N
682,2013.0,USA,M,N
683,2013.0,SOUTH AFRICA,M,N
684,2013.0,USA,M,N
685,2013.0,GUAM,M,Y
686,2013.0,FRENCH POLYNESIA,M,N
687,2013.0,USA,M,N
688,2013.0,AUSTRALIA,M,
689,2013.0,USA,M,N
690,2013.0,AUSTRALIA,M,
691,2013.0,SEYCHELLES,M,N
692,2013.0,BELIZE,F,N
693,2013.0,BAHAMAS,M,N
694,2013.0,SOUTH AFRICA,M,N
695,2013.0,SOUTH AFRICA,M,N
696,2013.0,JAMAICA,M,Y
697,2013.0,AUSTRALIA,M,N
698,2013.0,PHILIPPINES,M,N
699,2013.0,SOUTH AFRICA,M,N
700,2013.0,NEW ZEALAND,M,Y
701,2013.0,USA,,N
702,2013.0,USA,M,N
703,2013.0,USA,M,N
704,2013.0,FRENCH POLYNESIA,M,N
705,2013.0,JAMAICA,M,N
706,2013.0,AUSTRALIA,M,N
707,2013.0,AUSTRALIA,M,N
708,2013.0,AUSTRALIA,M,
709,2013.0,USA,M,N
710,2013.0,NEW ZEALAND,M,N
711,2013.0,AUSTRALIA,M,N
712,2012.0,USA,M,N
713,2012.0,AUSTRALIA,M,N
714,2012.0,AUSTRALIA,M,N
715,2012.0,SOUTH AFRICA,M,Y
716,2012.0,AUSTRALIA,M,N
717,2012.0,USA,M,N
718,2012.0,AUSTRALIA,M,N
719,2012.0,NEW ZEALAND,F,N
720,2012.0,USA,M,N
721,2012.0,AUSTRALIA,M,
722,2012.0,MEXICO,M,Y
723,2012.0,USA,M,N
724,2012.0,USA,M,N
725,2012.0,USA,M,N
726,2012.0,USA,M,N
727,2012.0,USA,F,N
728,2012.0,USA,M,Y
729,2012.0,USA,F,N
730,2012.0,USA,M,N
731,2012.0,USA,M,N
732,2012.0,USA,M,
733,2012.0,NIGERIA,F,N
734,2012.0,USA,M,N
735,2012.0,AUSTRALIA,M,N
736,2012.0,USA,M,N
737,2012.0,USA,M,N
738,2012.0,USA,M,N
739,2012.0,TONGA,F,N
740,2012.0,USA,,N
741,2012.0,USA,M,N
742,2012.0,USA,M,N
743,2012.0,USA,M,N
744,2012.0,USA,M,N
745,2012.0,USA,M,N
746,2012.0,USA,F,N
747,2012.0,USA,,N
748,2012.0,USA,F,N
749,2012.0,SCOTLAND,M,N
750,2012.0,AUSTRALIA,M,N
751,2012.0,BRAZIL,M,Y
752,2012.0,USA,M,N
753,2012.0,AUSTRALIA,,N
754,2012.0,USA,M,N
755,2012.0,REUNION,M,N
756,2012.0,FRENCH POLYNESIA,M,N
757,2012.0,USA,M,N
758,2012.0,AUSTRALIA,M,N
759,2012.0,USA,M,N
760,2012.0,USA,M,N
761,2012.0,USA,M,
762,2012.0,REUNION,M,Y
763,2012.0,TRINIDAD & TOBAGO,M,
764,2012.0,CANADA,F,
765,2012.0,AUSTRALIA,M,Y
766,2012.0,USA,F,N
767,2012.0,BAHAMAS,M,N
768,2012.0,AUSTRALIA,F,
769,2012.0,USA,M,N
770,2012.0,SOUTH AFRICA,M,N
771,2012.0,CROATIA,,
772,2012.0,USA,M,N
773,2012.0,USA,M,N
774,2012.0,USA,F,N
775,2012.0,AUSTRALIA,M,N
776,2012.0,USA,M,N
777,2012.0,AUSTRALIA,M,N
778,2012.0,USA,M,
779,2012.0,USA,F,N
780,2012.0,USA,M,N
781,2012.0,USA,F,N
782,2012.0,USA,M,N
783,2012.0,USA,M,N
784,2012.0,USA,M,N
785,2012.0,AUSTRALIA,M,N
786,2012.0,ITALY,M,2017
787,2012.0,AUSTRALIA,M,N
788,2012.0,USA,F,N
789,2012.0,USA,M,N
790,2012.0,USA,F,N
791,2012.0,MEXICO,M,N
792,2012.0,USA,M,N
793,2012.0,USA,M,N
794,2012.0,FIJI,M,N
795,2012.0,USA,M,N
796,2012.0,USA,F,N
797,2012.0,USA,F,N
798,2012.0,USA,M,N
799,2012.0,SOUTH AFRICA,M,Y
800,2012.0,AUSTRALIA,M,N
801,2012.0,USA,M,N
802,2012.0,USA,M,N
803,2012.0,AUSTRALIA,M,Y
804,2012.0,USA,M,N
805,2012.0,AUSTRALIA,,N
806,2012.0,AUSTRALIA,M,N
807,2012.0,USA,M,N
808,2012.0,USA,F,N
809,2012.0,USA,M,N
810,2012.0,NEW ZEALAND,M,N
811,2012.0,AUSTRALIA,F,N
812,2012.0,REUNION,M,N
813,2012.0,USA,M,N
814,2012.0,SAUDI ARABIA,M,
815,2012.0,CHILE,M,N
816,2012.0,USA,M,N
817,2012.0,AUSTRALIA,M,N
818,2012.0,SOUTH AFRICA,,N
819,2012.0,AUSTRALIA,M,N
820,2012.0,USA,,N
821,2012.0,AUSTRALIA,M,N
822,2012.0,BAHAMAS,M,N
823,2012.0,TAIWAN,M,N
824,2012.0,AUSTRALIA,M,N
